Month,Route,Service Category,Service Day of the Week,Average Daily Boardings
January 2019,1 California,Frequent Local,Sunday,"9,600"
February 2019,1 California,Frequent Local,Sunday,"11,500"
March 2019,1 California,Frequent Local,Sunday,"11,800"
April 2019,1 California,Frequent Local,Sunday,"10,800"
May 2019,1 California,Frequent Local,Sunday,"10,800"
June 2019,1 California,Frequent Local,Sunday,"11,600"
July 2019,1 California,Frequent Local,Sunday,"10,900"
August 2019,1 California,Frequent Local,Sunday,"11,500"
September 2019,1 California,Frequent Local,Sunday,"12,000"
October 2019,1 California,Frequent Local,Sunday,"11,700"
November 2019,1 California,Frequent Local,Sunday,"10,900"
December 2019,1 California,Frequent Local,Sunday,"9,700"
January 2020,1 California,Frequent Local,Sunday,"9,300"
February 2020,1 California,Frequent Local,Sunday,"11,200"
March 2020,1 California,Frequent Local,Sunday,"5,200"
April 2020,1 California,Frequent Local,Sunday,"2,700"
May 2020,1 California,Frequent Local,Sunday,"3,500"
June 2020,1 California,Frequent Local,Sunday,"4,000"
July 2020,1 California,Frequent Local,Sunday,"4,100"
August 2020,1 California,Frequent Local,Sunday,"4,200"
September 2020,1 California,Frequent Local,Sunday,"4,700"
October 2020,1 California,Frequent Local,Sunday,"5,000"
November 2020,1 California,Frequent Local,Sunday,"4,700"
December 2020,1 California,Frequent Local,Sunday,"3,700"
January 2021,1 California,Frequent Local,Sunday,"4,100"
February 2021,1 California,Frequent Local,Sunday,"4,800"
March 2021,1 California,Frequent Local,Sunday,"4,900"
April 2021,1 California,Frequent Local,Sunday,"5,200"
May 2021,1 California,Frequent Local,Sunday,"6,100"
June 2021,1 California,Frequent Local,Sunday,"6,600"
July 2021,1 California,Frequent Local,Sunday,"7,000"
August 2021,1 California,Frequent Local,Sunday,"7,200"
September 2021,1 California,Frequent Local,Sunday,"7,800"
October 2021,1 California,Frequent Local,Sunday,"7,300"
November 2021,1 California,Frequent Local,Sunday,"7,100"
December 2021,1 California,Frequent Local,Sunday,"6,200"
January 2022,1 California,Frequent Local,Sunday,"6,100"
February 2022,1 California,Frequent Local,Sunday,"6,800"
March 2022,1 California,Frequent Local,Sunday,"6,900"
April 2022,1 California,Frequent Local,Sunday,"7,700"
May 2022,1 California,Frequent Local,Sunday,"8,100"
June 2022,1 California,Frequent Local,Sunday,"9,700"
July 2022,1 California,Frequent Local,Sunday,"8,100"
August 2022,1 California,Frequent Local,Sunday,"9,000"
September 2022,1 California,Frequent Local,Sunday,"8,700"
October 2022,1 California,Frequent Local,Sunday,"8,900"
November 2022,1 California,Frequent Local,Sunday,"8,100"
December 2022,1 California,Frequent Local,Sunday,"7,700"
January 2023,1 California,Frequent Local,Sunday,"8,200"
February 2023,1 California,Frequent Local,Sunday,"8,500"
March 2023,1 California,Frequent Local,Sunday,"7,800"
April 2023,1 California,Frequent Local,Sunday,"8,800"
May 2023,1 California,Frequent Local,Sunday,"8,900"
June 2023,1 California,Frequent Local,Sunday,"9,800"
July 2023,1 California,Frequent Local,Sunday,"9,600"
August 2023,1 California,Frequent Local,Sunday,"10,400"
September 2023,1 California,Frequent Local,Sunday,"10,100"
October 2023,1 California,Frequent Local,Sunday,"10,100"
November 2023,1 California,Frequent Local,Sunday,"8,300"
December 2023,1 California,Frequent Local,Sunday,"9,100"
January 2024,1 California,Frequent Local,Sunday,"9,100"
February 2024,1 California,Frequent Local,Sunday,"9,300"
March 2024,1 California,Frequent Local,Sunday,"9,800"
April 2024,1 California,Frequent Local,Sunday,"10,400"
May 2024,1 California,Frequent Local,Sunday,"10,400"
June 2024,1 California,Frequent Local,Sunday,"11,200"
July 2024,1 California,Frequent Local,Sunday,"10,600"
August 2024,1 California,Frequent Local,Sunday,"10,800"
September 2024,1 California,Frequent Local,Sunday,"10,900"
October 2024,1 California,Frequent Local,Sunday,"10,500"
November 2024,1 California,Frequent Local,Sunday,"9,300"
December 2024,1 California,Frequent Local,Sunday,"9,500"
January 2025,1 California,Frequent Local,Sunday,"9,800"
February 2025,1 California,Frequent Local,Sunday,"10,200"
March 2025,1 California,Frequent Local,Sunday,"9,900"
April 2025,1 California,Frequent Local,Sunday,"10,600"
May 2025,1 California,Frequent Local,Sunday,"10,700"
June 2025,1 California,Frequent Local,Sunday,"11,300"
July 2025,1 California,Frequent Local,Sunday,"10,800"
August 2025,1 California,Frequent Local,Sunday,"11,300"
September 2025,1 California,Frequent Local,Sunday,"11,100"
October 2025,1 California,Frequent Local,Sunday,"10,800"
January 2019,1AX California A Express,Specialized,Sunday,
February 2019,1AX California A Express,Specialized,Sunday,
March 2019,1AX California A Express,Specialized,Sunday,
April 2019,1AX California A Express,Specialized,Sunday,
May 2019,1AX California A Express,Specialized,Sunday,
June 2019,1AX California A Express,Specialized,Sunday,
July 2019,1AX California A Express,Specialized,Sunday,
August 2019,1AX California A Express,Specialized,Sunday,
September 2019,1AX California A Express,Specialized,Sunday,
October 2019,1AX California A Express,Specialized,Sunday,
November 2019,1AX California A Express,Specialized,Sunday,
December 2019,1AX California A Express,Specialized,Sunday,
January 2020,1AX California A Express,Specialized,Sunday,
February 2020,1AX California A Express,Specialized,Sunday,
March 2020,1AX California A Express,Specialized,Sunday,
January 2019,1BX California B Express,Specialized,Sunday,
February 2019,1BX California B Express,Specialized,Sunday,
March 2019,1BX California B Express,Specialized,Sunday,
April 2019,1BX California B Express,Specialized,Sunday,
May 2019,1BX California B Express,Specialized,Sunday,
June 2019,1BX California B Express,Specialized,Sunday,
July 2019,1BX California B Express,Specialized,Sunday,
August 2019,1BX California B Express,Specialized,Sunday,
September 2019,1BX California B Express,Specialized,Sunday,
October 2019,1BX California B Express,Specialized,Sunday,
November 2019,1BX California B Express,Specialized,Sunday,
December 2019,1BX California B Express,Specialized,Sunday,
January 2020,1BX California B Express,Specialized,Sunday,
February 2020,1BX California B Express,Specialized,Sunday,
March 2020,1BX California B Express,Specialized,Sunday,
January 2019,2 Sutter,Grid,Sunday,"1,500"
February 2019,2 Sutter,Grid,Sunday,"1,600"
March 2019,2 Sutter,Grid,Sunday,"2,000"
April 2019,2 Sutter,Grid,Sunday,"2,200"
May 2019,2 Sutter,Grid,Sunday,"1,900"
June 2019,2 Sutter,Grid,Sunday,"1,900"
July 2019,2 Sutter,Grid,Sunday,"2,000"
August 2019,2 Sutter,Grid,Sunday,"2,000"
September 2019,2 Sutter,Grid,Sunday,"1,800"
October 2019,2 Sutter,Grid,Sunday,"1,800"
November 2019,2 Sutter,Grid,Sunday,"1,900"
December 2019,2 Sutter,Grid,Sunday,"1,600"
January 2020,2 Sutter,Grid,Sunday,"1,600"
February 2020,2 Sutter,Grid,Sunday,"1,900"
March 2020,2 Sutter,Grid,Sunday,"1,000"
April 2020,2 Sutter,Grid,Sunday,100
July 2022,2 Sutter,Grid,Sunday,600
August 2022,2 Sutter,Grid,Sunday,"1,100"
September 2022,2 Sutter,Grid,Sunday,"1,200"
October 2022,2 Sutter,Grid,Sunday,"1,200"
November 2022,2 Sutter,Grid,Sunday,"1,000"
December 2022,2 Sutter,Grid,Sunday,"1,000"
January 2023,2 Sutter,Grid,Sunday,"1,100"
February 2023,2 Sutter,Grid,Sunday,"1,100"
March 2023,2 Sutter,Grid,Sunday,"1,200"
April 2023,2 Sutter,Grid,Sunday,"1,400"
May 2023,2 Sutter,Grid,Sunday,"1,300"
June 2023,2 Sutter,Grid,Sunday,"1,300"
July 2023,2 Sutter,Grid,Sunday,"1,400"
August 2023,2 Sutter,Grid,Sunday,"1,500"
September 2023,2 Sutter,Grid,Sunday,"1,400"
October 2023,2 Sutter,Grid,Sunday,"1,500"
November 2023,2 Sutter,Grid,Sunday,"1,200"
December 2023,2 Sutter,Grid,Sunday,"1,300"
January 2024,2 Sutter,Grid,Sunday,"1,300"
February 2024,2 Sutter,Grid,Sunday,"1,500"
March 2024,2 Sutter,Grid,Sunday,"1,400"
April 2024,2 Sutter,Grid,Sunday,"1,700"
May 2024,2 Sutter,Grid,Sunday,"1,600"
June 2024,2 Sutter,Grid,Sunday,"1,700"
July 2024,2 Sutter,Grid,Sunday,"1,700"
August 2024,2 Sutter,Grid,Sunday,"1,800"
September 2024,2 Sutter,Grid,Sunday,"1,700"
October 2024,2 Sutter,Grid,Sunday,"1,600"
November 2024,2 Sutter,Grid,Sunday,"1,500"
December 2024,2 Sutter,Grid,Sunday,"1,500"
January 2025,2 Sutter,Grid,Sunday,"1,500"
February 2025,2 Sutter,Grid,Sunday,"1,700"
March 2025,2 Sutter,Grid,Sunday,"1,500"
April 2025,2 Sutter,Grid,Sunday,"1,800"
May 2025,2 Sutter,Grid,Sunday,"1,800"
June 2025,2 Sutter,Grid,Sunday,"1,800"
July 2025,2 Sutter,Grid,Sunday,"1,900"
August 2025,2 Sutter,Grid,Sunday,"2,000"
September 2025,2 Sutter,Grid,Sunday,"1,800"
October 2025,2 Sutter,Grid,Sunday,"1,800"
January 2019,3 Jackson,Grid,Sunday,"1,200"
February 2019,3 Jackson,Grid,Sunday,"1,500"
March 2019,3 Jackson,Grid,Sunday,"1,700"
April 2019,3 Jackson,Grid,Sunday,"1,500"
May 2019,3 Jackson,Grid,Sunday,"1,300"
June 2019,3 Jackson,Grid,Sunday,"1,200"
July 2019,3 Jackson,Grid,Sunday,"1,500"
August 2019,3 Jackson,Grid,Sunday,"1,900"
September 2019,3 Jackson,Grid,Sunday,"1,700"
October 2019,3 Jackson,Grid,Sunday,"1,700"
November 2019,3 Jackson,Grid,Sunday,"1,700"
December 2019,3 Jackson,Grid,Sunday,"1,500"
January 2020,3 Jackson,Grid,Sunday,"1,600"
February 2020,3 Jackson,Grid,Sunday,"1,600"
March 2020,3 Jackson,Grid,Sunday,900
April 2020,3 Jackson,Grid,Sunday,100
January 2019,5 Fulton,Grid,Sunday,"8,000"
February 2019,5 Fulton,Grid,Sunday,"7,900"
March 2019,5 Fulton,Grid,Sunday,"11,000"
April 2019,5 Fulton,Grid,Sunday,"10,300"
May 2019,5 Fulton,Grid,Sunday,"9,800"
June 2019,5 Fulton,Grid,Sunday,"9,200"
July 2019,5 Fulton,Grid,Sunday,"10,000"
August 2019,5 Fulton,Grid,Sunday,"10,500"
September 2019,5 Fulton,Grid,Sunday,"11,000"
October 2019,5 Fulton,Grid,Sunday,"11,100"
November 2019,5 Fulton,Grid,Sunday,"10,000"
December 2019,5 Fulton,Grid,Sunday,"8,200"
January 2020,5 Fulton,Grid,Sunday,"9,300"
February 2020,5 Fulton,Grid,Sunday,"10,100"
March 2020,5 Fulton,Grid,Sunday,"5,000"
April 2020,5 Fulton,Grid,Sunday,"1,000"
May 2020,5 Fulton,Grid,Sunday,"2,400"
June 2020,5 Fulton,Grid,Sunday,"3,200"
July 2020,5 Fulton,Grid,Sunday,"3,600"
August 2020,5 Fulton,Grid,Sunday,"3,600"
September 2020,5 Fulton,Grid,Sunday,"4,100"
October 2020,5 Fulton,Grid,Sunday,"4,200"
November 2020,5 Fulton,Grid,Sunday,"3,700"
December 2020,5 Fulton,Grid,Sunday,"2,800"
January 2021,5 Fulton,Grid,Sunday,"3,400"
February 2021,5 Fulton,Grid,Sunday,"4,400"
March 2021,5 Fulton,Grid,Sunday,"4,500"
April 2021,5 Fulton,Grid,Sunday,"4,600"
May 2021,5 Fulton,Grid,Sunday,"5,500"
June 2021,5 Fulton,Grid,Sunday,"6,100"
July 2021,5 Fulton,Grid,Sunday,"6,500"
August 2021,5 Fulton,Grid,Sunday,"7,100"
September 2021,5 Fulton,Grid,Sunday,"8,100"
October 2021,5 Fulton,Grid,Sunday,"7,200"
November 2021,5 Fulton,Grid,Sunday,"6,900"
December 2021,5 Fulton,Grid,Sunday,"5,900"
January 2022,5 Fulton,Grid,Sunday,"6,300"
February 2022,5 Fulton,Grid,Sunday,"7,300"
March 2022,5 Fulton,Grid,Sunday,"7,600"
April 2022,5 Fulton,Grid,Sunday,"7,900"
May 2022,5 Fulton,Grid,Sunday,"8,400"
June 2022,5 Fulton,Grid,Sunday,"7,900"
July 2022,5 Fulton,Grid,Sunday,"8,700"
August 2022,5 Fulton,Grid,Sunday,"10,500"
September 2022,5 Fulton,Grid,Sunday,"10,000"
October 2022,5 Fulton,Grid,Sunday,"10,200"
November 2022,5 Fulton,Grid,Sunday,"8,500"
December 2022,5 Fulton,Grid,Sunday,"7,700"
January 2023,5 Fulton,Grid,Sunday,"8,200"
February 2023,5 Fulton,Grid,Sunday,"8,900"
March 2023,5 Fulton,Grid,Sunday,"9,000"
April 2023,5 Fulton,Grid,Sunday,"10,600"
May 2023,5 Fulton,Grid,Sunday,"10,200"
June 2023,5 Fulton,Grid,Sunday,"9,300"
July 2023,5 Fulton,Grid,Sunday,"10,500"
August 2023,5 Fulton,Grid,Sunday,"12,600"
September 2023,5 Fulton,Grid,Sunday,"11,200"
October 2023,5 Fulton,Grid,Sunday,"11,200"
November 2023,5 Fulton,Grid,Sunday,"8,600"
December 2023,5 Fulton,Grid,Sunday,"8,800"
January 2024,5 Fulton,Grid,Sunday,"8,800"
February 2024,5 Fulton,Grid,Sunday,"8,700"
March 2024,5 Fulton,Grid,Sunday,"9,600"
April 2024,5 Fulton,Grid,Sunday,"10,600"
May 2024,5 Fulton,Grid,Sunday,"10,900"
June 2024,5 Fulton,Grid,Sunday,"9,900"
July 2024,5 Fulton,Grid,Sunday,"10,000"
August 2024,5 Fulton,Grid,Sunday,"12,000"
September 2024,5 Fulton,Grid,Sunday,"10,800"
October 2024,5 Fulton,Grid,Sunday,"11,500"
November 2024,5 Fulton,Grid,Sunday,"9,100"
December 2024,5 Fulton,Grid,Sunday,"8,500"
January 2025,5 Fulton,Grid,Sunday,"8,500"
February 2025,5 Fulton,Grid,Sunday,"9,300"
March 2025,5 Fulton,Grid,Sunday,"9,200"
April 2025,5 Fulton,Grid,Sunday,"10,400"
May 2025,5 Fulton,Grid,Sunday,"10,600"
June 2025,5 Fulton,Grid,Sunday,"9,100"
July 2025,5 Fulton,Grid,Sunday,"9,900"
August 2025,5 Fulton,Grid,Sunday,"12,400"
September 2025,5 Fulton,Grid,Sunday,"10,700"
October 2025,5 Fulton,Grid,Sunday,"11,100"
January 2019,5R Fulton Rapid,Rapid Bus,Sunday,
February 2019,5R Fulton Rapid,Rapid Bus,Sunday,
March 2019,5R Fulton Rapid,Rapid Bus,Sunday,
April 2019,5R Fulton Rapid,Rapid Bus,Sunday,
May 2019,5R Fulton Rapid,Rapid Bus,Sunday,
June 2019,5R Fulton Rapid,Rapid Bus,Sunday,
July 2019,5R Fulton Rapid,Rapid Bus,Sunday,
August 2019,5R Fulton Rapid,Rapid Bus,Sunday,
September 2019,5R Fulton Rapid,Rapid Bus,Sunday,
October 2019,5R Fulton Rapid,Rapid Bus,Sunday,
November 2019,5R Fulton Rapid,Rapid Bus,Sunday,
December 2019,5R Fulton Rapid,Rapid Bus,Sunday,
January 2020,5R Fulton Rapid,Rapid Bus,Sunday,
February 2020,5R Fulton Rapid,Rapid Bus,Sunday,
March 2020,5R Fulton Rapid,Rapid Bus,Sunday,
January 2019,6 Haight/Parnassus,Grid,Sunday,"4,500"
February 2019,6 Haight/Parnassus,Grid,Sunday,"5,200"
March 2019,6 Haight/Parnassus,Grid,Sunday,"5,300"
April 2019,6 Haight/Parnassus,Grid,Sunday,"5,500"
May 2019,6 Haight/Parnassus,Grid,Sunday,"5,000"
June 2019,6 Haight/Parnassus,Grid,Sunday,"4,700"
July 2019,6 Haight/Parnassus,Grid,Sunday,"4,600"
August 2019,6 Haight/Parnassus,Grid,Sunday,"5,300"
September 2019,6 Haight/Parnassus,Grid,Sunday,"5,600"
October 2019,6 Haight/Parnassus,Grid,Sunday,"5,400"
November 2019,6 Haight/Parnassus,Grid,Sunday,"4,900"
December 2019,6 Haight/Parnassus,Grid,Sunday,"3,900"
January 2020,6 Haight/Parnassus,Grid,Sunday,"5,400"
February 2020,6 Haight/Parnassus,Grid,Sunday,"5,500"
March 2020,6 Haight/Parnassus,Grid,Sunday,"3,400"
April 2020,6 Haight/Parnassus,Grid,Sunday,400
July 2022,6 Haight/Parnassus,Grid,Sunday,"1,500"
August 2022,6 Haight/Parnassus,Grid,Sunday,"2,500"
September 2022,6 Haight/Parnassus,Grid,Sunday,"2,600"
October 2022,6 Haight/Parnassus,Grid,Sunday,"2,900"
November 2022,6 Haight/Parnassus,Grid,Sunday,"2,400"
December 2022,6 Haight/Parnassus,Grid,Sunday,"2,400"
January 2023,6 Haight/Parnassus,Grid,Sunday,"2,600"
February 2023,6 Haight/Parnassus,Grid,Sunday,"2,800"
March 2023,6 Haight/Parnassus,Grid,Sunday,"2,800"
April 2023,6 Haight/Parnassus,Grid,Sunday,"3,100"
May 2023,6 Haight/Parnassus,Grid,Sunday,"2,900"
June 2023,6 Haight/Parnassus,Grid,Sunday,"2,900"
July 2023,6 Haight/Parnassus,Grid,Sunday,"2,900"
August 2023,6 Haight/Parnassus,Grid,Sunday,"3,400"
September 2023,6 Haight/Parnassus,Grid,Sunday,"3,500"
October 2023,6 Haight/Parnassus,Grid,Sunday,"2,900"
November 2023,6 Haight/Parnassus,Grid,Sunday,"2,600"
December 2023,6 Haight/Parnassus,Grid,Sunday,"3,000"
January 2024,6 Haight/Parnassus,Grid,Sunday,"2,900"
February 2024,6 Haight/Parnassus,Grid,Sunday,"3,300"
March 2024,6 Haight/Parnassus,Grid,Sunday,"3,200"
April 2024,6 Haight/Parnassus,Grid,Sunday,"3,200"
May 2024,6 Haight/Parnassus,Grid,Sunday,"3,400"
June 2024,6 Haight/Parnassus,Grid,Sunday,"3,500"
July 2024,6 Haight/Parnassus,Grid,Sunday,"3,500"
August 2024,6 Haight/Parnassus,Grid,Sunday,"3,700"
September 2024,6 Haight/Parnassus,Grid,Sunday,"3,900"
October 2024,6 Haight/Parnassus,Grid,Sunday,"3,900"
November 2024,6 Haight/Parnassus,Grid,Sunday,"3,300"
December 2024,6 Haight/Parnassus,Grid,Sunday,"3,300"
January 2025,6 Haight/Parnassus,Grid,Sunday,"3,300"
February 2025,6 Haight/Parnassus,Grid,Sunday,"3,100"
March 2025,6 Haight/Parnassus,Grid,Sunday,"3,100"
April 2025,6 Haight/Parnassus,Grid,Sunday,"3,400"
May 2025,6 Haight/Parnassus,Grid,Sunday,"3,600"
June 2025,6 Haight/Parnassus,Grid,Sunday,"2,800"
July 2025,6 Haight/Parnassus,Grid,Sunday,"1,500"
August 2025,6 Haight/Parnassus,Grid,Sunday,"1,800"
September 2025,6 Haight/Parnassus,Grid,Sunday,"1,600"
October 2025,6 Haight/Parnassus,Grid,Sunday,"1,700"
January 2019,7 Haight/Noriega,Frequent Local,Sunday,"6,800"
February 2019,7 Haight/Noriega,Frequent Local,Sunday,"7,900"
March 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,200"
April 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,400"
May 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,100"
June 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,300"
July 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,700"
August 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,400"
September 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,800"
October 2019,7 Haight/Noriega,Frequent Local,Sunday,"8,800"
November 2019,7 Haight/Noriega,Frequent Local,Sunday,"7,600"
December 2019,7 Haight/Noriega,Frequent Local,Sunday,"6,900"
January 2020,7 Haight/Noriega,Frequent Local,Sunday,"7,900"
February 2020,7 Haight/Noriega,Frequent Local,Sunday,"8,200"
March 2020,7 Haight/Noriega,Frequent Local,Sunday,"4,500"
April 2020,7 Haight/Noriega,Frequent Local,Sunday,500
June 2020,7 Haight/Noriega,Frequent Local,Sunday,300
July 2020,7 Haight/Noriega,Frequent Local,Sunday,600
August 2020,7 Haight/Noriega,Frequent Local,Sunday,"1,300"
September 2020,7 Haight/Noriega,Frequent Local,Sunday,"2,300"
October 2020,7 Haight/Noriega,Frequent Local,Sunday,"2,800"
November 2020,7 Haight/Noriega,Frequent Local,Sunday,"2,500"
December 2020,7 Haight/Noriega,Frequent Local,Sunday,"2,200"
January 2021,7 Haight/Noriega,Frequent Local,Sunday,"2,400"
February 2021,7 Haight/Noriega,Frequent Local,Sunday,"2,900"
March 2021,7 Haight/Noriega,Frequent Local,Sunday,"2,900"
April 2021,7 Haight/Noriega,Frequent Local,Sunday,"3,100"
May 2021,7 Haight/Noriega,Frequent Local,Sunday,"3,800"
June 2021,7 Haight/Noriega,Frequent Local,Sunday,"4,100"
July 2021,7 Haight/Noriega,Frequent Local,Sunday,"4,600"
August 2021,7 Haight/Noriega,Frequent Local,Sunday,"5,000"
September 2021,7 Haight/Noriega,Frequent Local,Sunday,"6,100"
October 2021,7 Haight/Noriega,Frequent Local,Sunday,"5,500"
November 2021,7 Haight/Noriega,Frequent Local,Sunday,"5,600"
December 2021,7 Haight/Noriega,Frequent Local,Sunday,"5,100"
January 2022,7 Haight/Noriega,Frequent Local,Sunday,"5,400"
February 2022,7 Haight/Noriega,Frequent Local,Sunday,"5,100"
March 2022,7 Haight/Noriega,Frequent Local,Sunday,"5,700"
April 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,000"
May 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,500"
June 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,400"
July 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,800"
August 2022,7 Haight/Noriega,Frequent Local,Sunday,"7,700"
September 2022,7 Haight/Noriega,Frequent Local,Sunday,"7,600"
October 2022,7 Haight/Noriega,Frequent Local,Sunday,"7,500"
November 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,700"
December 2022,7 Haight/Noriega,Frequent Local,Sunday,"6,200"
January 2023,7 Haight/Noriega,Frequent Local,Sunday,"6,700"
February 2023,7 Haight/Noriega,Frequent Local,Sunday,"7,200"
March 2023,7 Haight/Noriega,Frequent Local,Sunday,"6,900"
April 2023,7 Haight/Noriega,Frequent Local,Sunday,"8,000"
May 2023,7 Haight/Noriega,Frequent Local,Sunday,"7,900"
June 2023,7 Haight/Noriega,Frequent Local,Sunday,"7,700"
July 2023,7 Haight/Noriega,Frequent Local,Sunday,"8,400"
August 2023,7 Haight/Noriega,Frequent Local,Sunday,"8,800"
September 2023,7 Haight/Noriega,Frequent Local,Sunday,"9,600"
October 2023,7 Haight/Noriega,Frequent Local,Sunday,"8,300"
November 2023,7 Haight/Noriega,Frequent Local,Sunday,"7,100"
December 2023,7 Haight/Noriega,Frequent Local,Sunday,"7,400"
January 2024,7 Haight/Noriega,Frequent Local,Sunday,"7,700"
February 2024,7 Haight/Noriega,Frequent Local,Sunday,"7,100"
March 2024,7 Haight/Noriega,Frequent Local,Sunday,"8,100"
April 2024,7 Haight/Noriega,Frequent Local,Sunday,"8,500"
May 2024,7 Haight/Noriega,Frequent Local,Sunday,"8,500"
June 2024,7 Haight/Noriega,Frequent Local,Sunday,"8,500"
July 2024,7 Haight/Noriega,Frequent Local,Sunday,"8,900"
August 2024,7 Haight/Noriega,Frequent Local,Sunday,"9,600"
September 2024,7 Haight/Noriega,Frequent Local,Sunday,"9,700"
October 2024,7 Haight/Noriega,Frequent Local,Sunday,"9,100"
November 2024,7 Haight/Noriega,Frequent Local,Sunday,"7,700"
December 2024,7 Haight/Noriega,Frequent Local,Sunday,"7,900"
January 2025,7 Haight/Noriega,Frequent Local,Sunday,"7,700"
February 2025,7 Haight/Noriega,Frequent Local,Sunday,"8,000"
March 2025,7 Haight/Noriega,Frequent Local,Sunday,"8,200"
April 2025,7 Haight/Noriega,Frequent Local,Sunday,"9,300"
May 2025,7 Haight/Noriega,Frequent Local,Sunday,"8,400"
June 2025,7 Haight/Noriega,Frequent Local,Sunday,"8,200"
July 2025,7 Haight/Noriega,Frequent Local,Sunday,"10,000"
August 2025,7 Haight/Noriega,Frequent Local,Sunday,"10,800"
September 2025,7 Haight/Noriega,Frequent Local,Sunday,"10,400"
October 2025,7 Haight/Noriega,Frequent Local,Sunday,"10,000"
January 2019,7X Noriega Express,Specialized,Sunday,
February 2019,7X Noriega Express,Specialized,Sunday,
March 2019,7X Noriega Express,Specialized,Sunday,
April 2019,7X Noriega Express,Specialized,Sunday,
May 2019,7X Noriega Express,Specialized,Sunday,
June 2019,7X Noriega Express,Specialized,Sunday,
July 2019,7X Noriega Express,Specialized,Sunday,
August 2019,7X Noriega Express,Specialized,Sunday,
September 2019,7X Noriega Express,Specialized,Sunday,
October 2019,7X Noriega Express,Specialized,Sunday,
November 2019,7X Noriega Express,Specialized,Sunday,
December 2019,7X Noriega Express,Specialized,Sunday,
January 2020,7X Noriega Express,Specialized,Sunday,
February 2020,7X Noriega Express,Specialized,Sunday,
March 2020,7X Noriega Express,Specialized,Sunday,
January 2019,8 Bayshore,Frequent Local,Sunday,"19,000"
February 2019,8 Bayshore,Frequent Local,Sunday,"22,300"
March 2019,8 Bayshore,Frequent Local,Sunday,"21,800"
April 2019,8 Bayshore,Frequent Local,Sunday,"21,900"
May 2019,8 Bayshore,Frequent Local,Sunday,"21,700"
June 2019,8 Bayshore,Frequent Local,Sunday,"21,400"
July 2019,8 Bayshore,Frequent Local,Sunday,"22,600"
August 2019,8 Bayshore,Frequent Local,Sunday,"23,200"
September 2019,8 Bayshore,Frequent Local,Sunday,"22,600"
October 2019,8 Bayshore,Frequent Local,Sunday,"21,800"
November 2019,8 Bayshore,Frequent Local,Sunday,"21,000"
December 2019,8 Bayshore,Frequent Local,Sunday,"19,000"
January 2020,8 Bayshore,Frequent Local,Sunday,"21,600"
February 2020,8 Bayshore,Frequent Local,Sunday,"20,500"
March 2020,8 Bayshore,Frequent Local,Sunday,"10,000"
April 2020,8 Bayshore,Frequent Local,Sunday,"5,500"
May 2020,8 Bayshore,Frequent Local,Sunday,"7,900"
June 2020,8 Bayshore,Frequent Local,Sunday,"8,900"
July 2020,8 Bayshore,Frequent Local,Sunday,"9,300"
August 2020,8 Bayshore,Frequent Local,Sunday,"9,200"
September 2020,8 Bayshore,Frequent Local,Sunday,"10,200"
October 2020,8 Bayshore,Frequent Local,Sunday,"11,000"
November 2020,8 Bayshore,Frequent Local,Sunday,"10,700"
December 2020,8 Bayshore,Frequent Local,Sunday,"8,800"
January 2021,8 Bayshore,Frequent Local,Sunday,"9,000"
February 2021,8 Bayshore,Frequent Local,Sunday,"10,400"
March 2021,8 Bayshore,Frequent Local,Sunday,"10,900"
April 2021,8 Bayshore,Frequent Local,Sunday,"11,300"
May 2021,8 Bayshore,Frequent Local,Sunday,"12,100"
June 2021,8 Bayshore,Frequent Local,Sunday,"12,300"
July 2021,8 Bayshore,Frequent Local,Sunday,"13,000"
August 2021,8 Bayshore,Frequent Local,Sunday,"12,000"
September 2021,8 Bayshore,Frequent Local,Sunday,"13,100"
October 2021,8 Bayshore,Frequent Local,Sunday,"11,500"
November 2021,8 Bayshore,Frequent Local,Sunday,"13,800"
December 2021,8 Bayshore,Frequent Local,Sunday,"12,600"
January 2022,8 Bayshore,Frequent Local,Sunday,"12,400"
February 2022,8 Bayshore,Frequent Local,Sunday,"12,800"
March 2022,8 Bayshore,Frequent Local,Sunday,"14,100"
April 2022,8 Bayshore,Frequent Local,Sunday,"14,400"
May 2022,8 Bayshore,Frequent Local,Sunday,"14,800"
June 2022,8 Bayshore,Frequent Local,Sunday,"15,500"
July 2022,8 Bayshore,Frequent Local,Sunday,"16,600"
August 2022,8 Bayshore,Frequent Local,Sunday,"18,000"
September 2022,8 Bayshore,Frequent Local,Sunday,"17,400"
October 2022,8 Bayshore,Frequent Local,Sunday,"16,800"
November 2022,8 Bayshore,Frequent Local,Sunday,"16,300"
December 2022,8 Bayshore,Frequent Local,Sunday,"15,600"
January 2023,8 Bayshore,Frequent Local,Sunday,"16,200"
